Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,,,,,,,
203,Saint Joseph's,A10,0-0,-3.47,97.8,101.3,75.4,,,,,,,
92,Saint Louis,A10,0-0,8.77,106,97.2,71.4,,,,,,,
42,Saint Mary's,WCC,0-0,16.02,107.1,91.1,67.9,,,,,,,
172,Saint Peter's,MAAC,0-0,-0.62,94.9,95.5,70.9,,,,,,,
196,Sam Houston St.,WAC,0-0,-2.76,96.9,99.7,73.9,,,,,,,
255,Samford,SC,0-0,-6.88,95.6,102.4,75.4,,,,,,,
180,San Diego,WCC,0-0,-1.36,99.7,101.1,73.5,,,,,,,
33,San Diego St.,MWC,0-0,17.54,106.8,89.2,70.4,,,,,,,
34,San Francisco,WCC,0-0,17.32,109.2,91.8,72.1,,,,,,,
335,San Jose St.,MWC,0-0,-17.02,91.1,108.1,72,,,,,,,
124,Santa Clara,WCC,0-0,4.93,101.4,96.5,72.9,,,,,,,
167,Seattle,WAC,0-0,-0.42,100.3,100.7,72.5,,,,,,,
50,Seton Hall,BE,0-0,15.05,107.4,92.4,71.6,,,,,,,
231,Siena,MAAC,0-0,-5.62,95,100.7,70.8,,,,,,,
313,SIU Edwardsville,OVC,0-0,-13.3,92,105.2,72.4,,,,,,,
60,SMU,Amer,0-0,13.48,108.8,95.4,71.6,,,,,,,
267,South Alabama,SB,0-0,-8.18,96,104.2,71.5,,,,,,,
86,South Carolina,SEC,0-0,9.94,104.7,94.7,76.2,,,,,,,
350,South Carolina St.,MEAC,0-0,-22.89,86.7,109.6,73.6,,,,,,,
186,South Dakota,Sum,0-0,-1.93,100.5,102.5,72.8,,,,,,,
89,South Dakota St.,Sum,0-0,9.02,109.2,100.2,73.7,,,,,,,
166,South Florida,Amer,0-0,-0.38,97.3,97.7,70.9,,,,,,,
268,Southeast Missouri St.,OVC,0-0,-8.25,96.1,104.3,72.4,,,,,,,
314,Southeastern Louisiana,Slnd,0-0,-13.36,93.1,106.4,73.2,,,,,,,
319,Southern,SWAC,0-0,-14.39,89.8,104.2,73.2,,,,,,,
134,Southern Illinois,MVC,0-0,3.85,101.9,98.1,70.3,,,,,,,
191,Southern Miss,CUSA,0-0,-2.42,97,99.5,71.3,,,,,,,
122,Southern Utah,BSky,0-0,5.24,105,99.8,73.9,,,,,,,
30,St. Bonaventure,A10,0-0,17.94,109.7,91.8,70.1,,,,,,,
323,St. Francis NY,NEC,0-0,-14.82,92.9,107.8,74.8,,,,,,,
244,St. Francis PA,NEC,0-0,-6.27,98,104.2,72.7,,,,,,,
51,St. John's,BE,0-0,14.65,107.8,93.1,75.7,,,,,,,
339,St. Thomas,Sum,0-0,-17.61,93.5,111.2,70.8,,,,,,,
68,Stanford,P12,0-0,12.47,103.5,91,73.1,,,,,,,
138,Stephen F. Austin,WAC,0-0,3.25,100.7,97.4,73.4,,,,,,,
195,Stetson,ASun,0-0,-2.63,100.3,102.9,71.7,,,,,,,
185,Stony Brook,AE,0-0,-1.81,99.6,101.4,71.1,,,,,,,
41,Syracuse,ACC,0-0,16.02,111.1,95.1,71.9,,,,,,,
216,Tarleton St.,WAC,0-0,-4.24,96.9,101.1,69.9,,,,,,,
75,TCU,B12,0-0,11.57,106.2,94.6,71.2,,,,,,,
106,Temple,Amer,0-0,6.21,102,95.8,72.9,,,,,,,
13,Tennessee,SEC,0-0,21.6,110,88.4,71.4,,,,,,,
